fips,cases,deaths
25001.0,28796,1229
25003.0,16719,1134
25005.0,99819,4588
25007.0,589,21
25009.0,246896,11545
25011.0,8248,1160
25013.0,109518,9881
25015.0,15152,792
25017.0,408245,21295
25019.0,426,0
25021.0,173741,12545
25023.0,143627,7165
25025.0,371248,13162
25027.0,158385,6995
26001.0,90,12
26005.0,2504,31
26007.0,1559,107
26009.0,340,1
26011.0,565,22
26013.0,26,0
26015.0,1000,29
26017.0,4083,133
26019.0,98,0
26021.0,7913,429
26023.0,1741,70
26025.0,6279,313
26027.0,921,61
26029.0,500,29
26031.0,570,38
26033.0,70,8
26035.0,323,40
26037.0,4158,255
26039.0,1287,92
26041.0,444,54
26043.0,120,70
26045.0,4148,189
26047.0,794,80
26049.0,50569,5109
26051.0,401,22
26053.0,162,47
26055.0,747,164
26057.0,522,36
26059.0,3976,488
26061.0,72,0
26063.0,558,11
26065.0,14842,315
26067.0,1796,68
26069.0,1018,135
26073.0,1885,218
26075.0,10597,550
26077.0,10438,492
26079.0,629,80
26081.0,38479,984
26085.0,60,0
26087.0,5256,679
26089.0,282,0
26091.0,3039,27
26093.0,11498,471
26095.0,39,0
26097.0,182,0
26099.0,179069,16917
26101.0,399,0
26103.0,1376,223
26105.0,263,0
26107.0,489,55
26109.0,104,0
26111.0,1889,131
26113.0,350,46
26115.0,10048,362
26117.0,1227,35
26119.0,126,0
26121.0,7292,428
26123.0,590,0
26125.0,248879,20805
26127.0,359,35
26129.0,336,0
26133.0,264,0
26135.0,161,4
26137.0,2692,207
26139.0,6857,282
26141.0,242,0
26143.0,477,0
26145.0,18738,1475
26147.0,10222,526
26149.0,1165,29
26151.0,1179,132
26153.0,99,0
26155.0,4564,235
26157.0,2954,418
26159.0,1616,73
26161.0,37318,1713
26163.0,571491,50157
26165.0,321,46
27001.0,29,0
27003.0,7215,299
27005.0,218,0
27007.0,238,0
27009.0,743,15
27011.0,67,0
27013.0,1342,0
27015.0,293,32
27017.0,1540,0
27019.0,1082,3
27021.0,192,2
27023.0,69,0
27025.0,384,39
27027.0,4083,239
27029.0,96,0
27033.0,629,0
27035.0,680,14
27037.0,6764,275
27039.0,768,0
27041.0,158,0
27043.0,203,0
27045.0,499,19
27047.0,1158,0
27049.0,729,0
27051.0,14,0
27053.0,55308,5854
27055.0,42,0
27059.0,216,0
27061.0,272,0
27063.0,387,0
27065.0,45,0
27067.0,2836,14
27069.0,24,0
27071.0,41,0
27073.0,58,0
27075.0,5,0
27079.0,1009,0
27081.0,96,0
27083.0,285,0
27085.0,139,0
27087.0,60,6
27089.0,83,0
27091.0,2609,166
27093.0,293,0
27095.0,69,23
27097.0,121,0
27099.0,1185,0
27101.0,340,0
27103.0,425,56
27105.0,15737,26
27107.0,181,0
27109.0,8828,187
27111.0,355,0
27113.0,21,0
27115.0,1188,0
27117.0,91,0
27119.0,707,3
27121.0,25,0
27123.0,13272,729
27125.0,33,0
27127.0,59,0
27129.0,159,0
27131.0,823,26
27133.0,279,0
27135.0,35,0
27137.0,2238,298
27139.0,1796,39
27141.0,1276,7
27143.0,67,0
27145.0,11699,31
27147.0,740,0
27149.0,5,0
27151.0,60,0
27153.0,291,0
27155.0,88,0
27157.0,369,0
27159.0,34,0
27161.0,235,0
27163.0,4864,254
27165.0,333,0
27167.0,347,79
27169.0,2038,388
27171.0,1483,31
27173.0,105,0
28001.0,3723,221
28003.0,327,13
28005.0,820,22
28007.0,2942,29
28009.0,350,0
28011.0,3460,217
28013.0,1474,82
28015.0,1323,46
28017.0,2094,188
28019.0,512,43
28021.0,628,0
28023.0,1480,105
28025.0,1268,51
28027.0,2204,75
28029.0,2831,27
28031.0,1626,4
28033.0,9900,127
28035.0,6667,291
28037.0,561,17
28039.0,424,24
28041.0,137,18
28043.0,965,17
28045.0,2214,209
28047.0,6065,205
28049.0,15620,228
28051.0,3878,259
28053.0,645,104
28057.0,1327,77
28059.0,8276,246
28061.0,1296,32
28063.0,466,0
28065.0,805,29
28067.0,4036,42
28069.0,1532,57
28071.0,2606,94
28073.0,3014,70
28075.0,10179,709
28077.0,1152,0
28079.0,5050,43
28081.0,2486,144
28083.0,4310,426
28085.0,4187,270
28087.0,1693,52
28089.0,7798,211
28091.0,1884,121
28093.0,1612,71
28095.0,4009,342
28097.0,1039,42
28099.0,4745,136
28101.0,2068,3
28103.0,1644,17
28105.0,1961,88
28107.0,1293,73
28109.0,5299,480
28111.0,931,45
28113.0,4261,163
28115.0,728,67
28117.0,929,23
28119.0,534,0
28121.0,6233,149
28123.0,8005,40
28125.0,158,0
28127.0,1183,0
28129.0,2053,102
28131.0,632,0
28133.0,1857,81
28135.0,336,25
28137.0,1373,0
28139.0,2136,290
28141.0,196,0
28143.0,1223,59
28145.0,715,46
28147.0,1048,0
28149.0,1690,49
28151.0,2715,93
28153.0,590,0
28155.0,673,48
28157.0,2351,226
28159.0,1408,0
28161.0,711,0
28163.0,3969,49
29001.0,477,0
29003.0,87,0
29005.0,74,0
