FIPS,%_african_american,%_natamer_alaskan,%_asian,%_hawaii_pacisl,%_hisp,%_nonhisp_white
13027,34.7,0.4,0.9,0.2,5.9,56.9
13029,14.0,0.5,2.0,0.2,7.1,73.9
13031,29.1,0.4,1.6,0.1,3.7,63.8
13033,47.3,0.4,0.5,0.1,3.1,47.4
13035,27.8,0.3,0.6,0.0,3.2,66.9
13037,60.8,0.6,0.8,0.3,4.7,32.3
13039,18.7,0.7,1.4,0.2,6.5,70.1
13043,24.5,0.3,1.1,0.2,11.3,62.2
13045,18.7,0.6,1.0,0.1,6.9,71.1
13047,2.6,0.4,1.4,0.1,2.9,91.1
13049,30.8,0.7,0.7,0.0,3.7,62.6
13051,39.7,0.3,2.9,0.1,6.3,49.0
13053,19.1,1.5,3.0,0.8,14.4,59.4
13055,9.8,0.4,0.6,0.3,5.0,82.8
13057,6.3,0.5,1.9,0.1,10.0,79.8
13059,27.6,0.4,4.4,0.1,10.8,55.3
13061,59.9,0.4,0.5,0.0,1.5,36.7
13063,68.8,0.6,5.3,0.1,13.1,10.8
13065,26.9,0.9,0.3,0.1,5.3,65.2
13067,26.9,0.5,5.3,0.1,12.9,52.7
13069,27.7,0.5,1.0,0.1,11.6,58.3
13071,22.6,1.4,0.9,0.2,19.6,55.8
13073,16.5,0.4,4.3,0.2,6.6,69.6
13075,26.6,0.4,0.8,0.1,5.9,65.3
13077,17.7,0.4,2.0,0.1,6.8,71.6
13079,20.5,0.7,0.8,0.1,3.1,74.0
13081,44.1,0.3,1.2,0.1,3.3,50.1
13083,1.1,0.6,1.0,0.1,2.3,93.9
13085,0.6,0.4,0.6,0.1,4.2,92.9
13087,41.5,0.8,0.6,0.1,5.9,50.8
13089,54.1,0.5,6.4,0.1,8.5,29.1
13091,29.2,0.4,0.5,0.2,3.6,65.5
13093,48.2,0.2,0.8,0.1,7.7,42.3
13095,69.5,0.3,0.9,0.2,2.7,25.6
13097,44.5,0.4,1.7,0.2,9.4,42.1
13099,49.8,0.5,0.7,0.0,2.2,46.0
13101,4.3,2.8,0.8,0.2,29.6,62.3
13103,13.5,0.4,1.1,0.1,4.1,79.0
13105,28.4,0.4,0.8,0.0,5.6,63.9
13107,34.0,0.4,0.6,0.0,4.6,59.8
13109,29.3,0.6,1.2,0.4,11.8,57.0
13111,0.7,0.4,0.5,0.0,2.2,95.0
13113,22.5,0.4,4.9,0.1,7.1,63.5
13115,14.3,0.8,1.5,0.3,10.8,71.7
13117,3.3,0.5,12.0,0.1,9.3,73.7
13119,9.1,0.4,1.0,0.1,4.6,83.8
13121,43.6,0.3,7.0,0.0,7.3,40.1
13123,0.5,0.7,0.6,0.5,11.7,85.9
13125,9.0,0.5,0.1,0.0,1.5,87.3
13127,26.0,0.5,1.5,0.2,6.9,63.8
13129,4.0,0.7,1.1,0.4,15.5,77.9
13131,28.3,1.3,0.7,0.3,10.8,58.7
13133,34.2,0.6,0.9,0.1,6.3,57.1
13135,26.5,0.8,11.9,0.1,20.8,38.5
13137,3.5,1.0,2.5,0.3,14.4,78.1
13139,7.3,0.8,2.0,0.2,28.0,61.3
13141,71.5,0.5,1.0,0.0,2.2,24.2
13143,4.7,0.3,0.7,0.0,1.7,91.2
13145,16.6,0.4,1.0,0.1,3.3,77.3
13147,18.7,0.2,1.0,0.0,3.7,75.0
13149,9.9,0.5,0.6,0.0,2.7,84.8
13151,42.4,0.3,3.4,0.1,6.6,45.4
13153,30.4,0.5,2.9,0.2,6.6,57.2
13155,27.1,0.2,0.9,0.0,3.7,67.4
13157,6.9,0.4,1.9,0.1,7.3,82.2
13159,19.9,0.5,0.3,0.0,3.9,74.2
13161,14.7,0.8,0.7,0.1,11.9,71.6
13163,52.7,0.2,0.8,0.1,3.7,42.0
13165,41.7,0.5,0.6,0.2,5.5,51.2
13167,34.1,0.3,0.3,0.0,2.4,62.3
13169,24.9,0.3,0.6,0.0,1.5,71.6
13171,30.0,0.3,0.6,0.0,2.5,65.1
13173,21.3,1.0,1.3,0.0,5.7,68.7
13175,36.2,0.3,1.1,0.0,2.7,58.7
13177,20.5,0.4,2.5,0.1,3.0,72.5
13179,41.1,0.7,2.1,0.6,12.3,39.9
13181,30.7,0.5,0.5,0.0,1.5,65.4
13183,24.8,0.8,1.0,0.5,11.9,58.1
13185,36.3,0.5,1.9,0.2,5.6,54.2
13187,1.5,0.7,0.7,0.1,4.6,90.8
13189,40.8,0.4,0.5,0.1,2.9,53.9
13191,33.9,0.6,0.4,0.1,2.1,61.8
13193,59.5,0.5,1.7,0.1,4.1,33.7
13195,8.9,0.3,1.7,0.0,5.2,82.6
13197,30.1,1.1,1.0,0.9,7.4,59.1
13199,38.9,0.5,0.7,0.1,2.1,56.6
13201,26.2,0.4,0.6,0.1,2.7,69.0
13205,47.4,0.6,0.6,0.1,4.3,46.5
13207,22.9,0.3,1.0,0.0,2.3,72.4
13209,25.2,0.2,0.4,0.0,6.5,66.5
13211,22.7,0.8,0.8,0.0,3.3,71.7
13213,0.7,1.0,0.5,0.3,14.6,83.0
13215,45.7,0.5,2.7,0.2,7.6,41.1
13217,44.0,0.4,1.1,0.1,5.3,47.6
13219,4.9,0.3,4.0,0.0,4.9,84.8
13221,16.6,0.3,1.3,0.0,4.3,75.8
13223,18.5,0.4,1.1,0.1,6.1,72.2
13225,43.9,0.5,1.2,0.1,7.2,45.9
13227,1.1,0.5,0.8,0.0,3.1,93.4
13229,8.5,0.8,0.8,0.1,5.2,83.7
13231,9.4,0.3,0.4,0.0,1.6,86.9
13233,12.5,0.8,0.9,0.2,13.0,72.0
13235,31.9,0.5,1.0,0.1,3.5,62.3
13237,26.4,0.5,0.6,0.3,6.6,65.2
13239,47.4,0.7,0.3,0.0,1.8,49.1
13241,1.3,0.6,1.0,0.1,8.2,87.7
13243,60.8,0.1,0.6,0.1,2.6,35.2
13245,55.4,0.4,1.8,0.2,4.9,35.2
